table_name,index_name,idx_scan,idx_tup_read,idx_tup_fetch
spatial_ref_sys,spatial_ref_sys_pkey,3054,3054,3054
layers_registry,layers_registry_layer_key_key,973,974,973
external_features,idx_external_features_layer_geom_gist,669,36244457,35962489
external_features,idx_external_features_layer_source_id,179,456,456
bkg_vg25_boundaries,idx_bkg_vg25_boundaries_geom_gist,63,249,83
bkg_vg250_boundaries,idx_bkg_vg250_boundaries_geom_gist,62,240,80
external_features,external_features_pkey,4,80000,80000
layers_registry,layers_registry_pkey,0,0,0
surveys,idx_surveys_geom,0,0,0
surveys,surveys_layer_key_key,0,0,0
layers_registry,idx_layers_registry_group_sort,0,0,0
survey_objects,idx_survey_objects_layer_key,0,0,0
external_features,idx_external_features_layer,0,0,0
ingestion_sources,ingestion_sources_pkey,0,0,0
ingestion_sources,ingestion_sources_source_key_key,0,0,0
ingestion_runs,ingestion_runs_pkey,0,0,0
ingestion_artifacts,ingestion_artifacts_pkey,0,0,0
restricted_areas,restricted_areas_pkey,0,0,0
bavaria_economy_raw,bavaria_economy_raw_pkey,0,0,0
mining_locations,mining_locations_pkey,0,0,0
mining_locations,idx_mining_locations_geom,0,0,0
raw_test,raw_test_pkey,0,0,0
spsde:simplifiedbavarianmonument,spsde:simplifiedbavarianmonument_pk,0,0,0
spsde:simplifiedbavarianmonument,spsde:simplifiedbavarianmonument_geometry_geom_idx,0,0,0
restricted_areas,idx_restricted_areas_geom,0,0,0
surveys,idx_surveys_geom_gist,0,0,0
survey_objects,idx_survey_objects_geom_gist,0,0,0
external_features,idx_external_features_geom_gist,0,0,0
survey_objects,survey_objects_pkey,0,0,0
external_features,idx_external_features_properties_label,0,0,0
permission_requests,permission_requests_pkey,0,0,0
permission_requests,idx_permission_requests_survey_id,0,0,0
permission_requests,idx_permission_requests_feature_id,0,0,0
layer_registry,layer_registry_pkey,0,0,0
layer_registry,layer_registry_layer_name_key,0,0,0
bkg_vg250_boundaries,bkg_vg250_boundaries_pkey,0,0,0
bkg_vg25_boundaries,bkg_vg25_boundaries_pkey,0,0,0
survey_objects,idx_survey_objects_geom,0,0,0
surveys,surveys_pkey,0,0,0
external_features,idx_external_features_geom,0,0,0
