queryid,calls,total_exec_time,mean_exec_time,rows,shared_blks_hit,shared_blks_read,temp_blks_read,temp_blks_written,query
4622485673134627552,1,5038.295,5038.295,36,85735,361465,0,0,"SELECT layer, COUNT(*)
            FROM external_features
            GROUP BY layer"
-5507895004688678276,3,4046.9772000000003,1348.9924,3,58311,1047012,0,0,"SELECT $1 AS table_name, ST_SRID(geom) AS srid, COUNT(*) AS n
            FROM external_features
            WHERE geom IS NOT NULL
            GROUP BY ST_SRID(geom)
            UNION ALL
            SELECT $2 AS table_name, ST_SRID(geom) AS srid, COUNT(*) AS n
            FROM survey_objects
            WHERE geom IS NOT NULL
            GROUP BY ST_SRID(geom)
            UNION ALL
            SELECT $3 AS table_name, ST_SRID(geom) AS srid, COUNT(*) AS n
            FROM surveys
            WHERE geom IS NOT NULL
            GROUP BY ST_SRID(geom)
            ORDER BY table_name, n DESC"
1389976556187309256,1,2550.2867,2550.2867,0,99021,346660,0,0,"EXPLAIN (ANALYZE, BUFFERS, VERBOSE, SETTINGS)
SELECT layer, COUNT(*)
FROM public.external_features
GROUP BY layer"
7647870470435028548,3,1125.037,375.01233333333334,15,138465,6093,0,0,"WITH sample AS (
              SELECT layer, geom
              FROM external_features
              WHERE geom IS NOT NULL
              ORDER BY id DESC
              LIMIT $1
            )
            SELECT
              layer,
              COUNT(*) AS sampled_features,
              COUNT(*) FILTER (WHERE NOT ST_IsValid(geom)) AS invalid_features,
              AVG(ST_NPoints(geom)) AS avg_points,
              MAX(ST_NPoints(geom)) AS max_points
            FROM sample
            GROUP BY layer
            ORDER BY sampled_features DESC"
8285673085659896166,4,827.5359,206.88397500000002,16,48,0,0,0,"SELECT datname, pg_database_size(datname) AS bytes
            FROM pg_database
            ORDER BY bytes DESC"
1381153010722816006,4,241.60150000000002,60.400375,68,4787,37,0,0,"SELECT
              n.nspname AS schema_name,
              c.relname AS table_name,
              pg_total_relation_size(c.oid) AS total_bytes,
              pg_relation_size(c.oid) AS table_bytes,
              pg_indexes_size(c.oid) AS index_bytes,
              COALESCE(s.n_live_tup, $1) AS n_live_tup,
              COALESCE(s.n_dead_tup, $2) AS n_dead_tup
            FROM pg_class c
            JOIN pg_namespace n ON n.oid = c.relnamespace
            LEFT JOIN pg_stat_user_tables s ON s.relid = c.oid
            WHERE c.relkind = $3
              AND n.nspname NOT IN ($4 /*, ... */)
            ORDER BY total_bytes DESC"
-1118924422343236163,2,110.4422,55.2211,0,4026,80,0,0,CREATE EXTENSION IF NOT EXISTS pg_stat_statements
2503101037485376602,4,55.1723,13.793075,160,4278,6,0,0,"SELECT
              schemaname,
              tablename,
              indexname,
              indexdef,
              pg_relation_size((schemaname || $1 || indexname)::regclass) AS index_bytes
            FROM pg_indexes
            WHERE schemaname NOT IN ($2 /*, ... */)
            ORDER BY index_bytes DESC NULLS LAST"
9144112771074952941,1,38.688100000000006,38.688100000000006,15,3,0,0,0,"SELECT
    calls,
    ROUND(total_exec_time::numeric, $1) AS total_ms,
    ROUND(mean_exec_time::numeric, $2) AS mean_ms,
    rows,
    shared_blks_hit,
    shared_blks_read,
    temp_blks_written,
    query
FROM pg_stat_statements
WHERE query NOT ILIKE $3
ORDER BY total_exec_time DESC
LIMIT $4"
-9181392394806888969,4,25.706699999999998,6.4266749999999995,1612,12,0,0,0,"SELECT name, setting, unit, category, context, vartype, source, boot_val, reset_val, pending_restart
            FROM pg_settings
            ORDER BY name"
1314168946605071400,3,17.4838,5.827933333333333,3,0,0,0,0,"SELECT name, setting, pending_restart
FROM pg_settings
WHERE name = $1"
3146247604830448625,3,16.8775,5.6258333333333335,54,0,0,0,0,"SELECT
              name, setting, unit, context, source
            FROM pg_settings
            WHERE name LIKE $1
               OR name IN ($2 /*, ... */)
            ORDER BY name"
-2441191445735386548,3,10.382100000000001,3.4607,24,5242,89,0,0,"SELECT f_table_schema, f_table_name, f_geometry_column, coord_dimension, srid, type
            FROM public.geometry_columns
            ORDER BY f_table_schema, f_table_name, f_geometry_column"
8808516917869465915,6,6.679699999999999,1.1132833333333332,189,107,49,0,0,"SELECT at.attname, ty.typname, at.attnum
    FROM pg_catalog.pg_attribute at
    LEFT JOIN pg_catalog.pg_type ty ON (ty.oid = at.atttypid)
    JOIN pg_catalog.pg_class as cl ON cl.oid=at.attrelid
    JOIN pg_catalog.pg_namespace as nsp ON nsp.oid=cl.relnamespace
WHERE
    attrelid=$1::oid AND
at.attnum > $2
AND at.attisdropped = $3"
8511307368339327141,1,5.8027,5.8027,95,7,22,0,0,"SELECT layer_key,
                           layer_name,
                           layer_group,
                           source_table,
                           geometry_type,
                           is_visible,
                           opacity,
                           sort_order,
                           metadata
                    FROM layers_registry
                    ORDER BY layer_group, sort_order, layer_name"
389015072221078199,1,5.5121,5.5121,1,0,0,0,0,"SELECT set_config($1,$2,$3) FROM pg_show_all_settings() WHERE name = $4"
389015072221078199,1,5.4352,5.4352,1,0,0,0,0,"SELECT set_config($1,$2,$3) FROM pg_show_all_settings() WHERE name = $4"
-6321281415133756646,6,5.3933,0.8988833333333334,189,270,34,0,0,"SELECT DISTINCT att.attname as name, att.attnum as OID, pg_catalog.format_type(ty.oid,$1) AS datatype,
pg_catalog.format_type(ty.oid,att.atttypmod) AS displaytypname,
att.attnotnull as not_null,
CASE WHEN att.atthasdef OR att.attidentity != $2 OR ty.typdefault IS NOT NULL THEN $3
ELSE $4 END as has_default_val, des.description, seq.seqtypid
FROM pg_catalog.pg_attribute att
    JOIN pg_catalog.pg_type ty ON ty.oid=atttypid
    JOIN pg_catalog.pg_namespace tn ON tn.oid=ty.typnamespace
    JOIN pg_catalog.pg_class cl ON cl.oid=att.attrelid
    JOIN pg_catalog.pg_namespace na ON na.oid=cl.relnamespace
    LEFT OUTER JOIN pg_catalog.pg_type et ON et.oid=ty.typelem
    LEFT OUTER JOIN pg_catalog.pg_attrdef def ON adrelid=att.attrelid AND adnum=att.attnum
    LEFT OUTER JOIN (pg_catalog.pg_depend JOIN pg_catalog.pg_class cs ON classid=$5::regclass AND objid=cs.oid AND cs.relkind=$6) ON refobjid=att.attrelid AND refobjsubid=att.attnum
    LEFT OUTER JOIN pg_catalog.pg_namespace ns ON ns.oid=cs.relnamespace
    LEFT OUTER JOIN pg_catalog.pg_index pi ON pi.indrelid=att.attrelid AND indisprimary
    LEFT OUTER JOIN pg_catalog.pg_description des ON (des.objoid=att.attrelid AND des.objsubid=att.attnum AND des.classoid=$7::regclass)
    LEFT OUTER JOIN pg_catalog.pg_sequence seq ON cs.oid=seq.seqrelid
WHERE

    att.attrelid = $8::oid
    AND att.attnum > $9
    AND att.attisdropped IS FALSE
ORDER BY att.attnum"
4854991825702068830,1956,3.9091999999999834,0.0019985685071574667,0,0,0,0,0,BEGIN
-3741707593236325849,1,3.7272999999999996,3.7272999999999996,31,1173,36,0,0,"SELECT schemaname, tablename, indexname, indexdef
                FROM pg_indexes
                WHERE schemaname = ANY (current_schemas($1))"
-3789064086496793860,2,2.2753,1.13765,38,0,0,0,0,"SELECT
    calls,
    ROUND(total_exec_time::numeric, $1) AS total_ms,
    ROUND(mean_exec_time::numeric, $2) AS mean_ms,
    rows,
    shared_blks_hit,
    shared_blks_read,
    temp_blks_written,
    LEFT(query, $3) AS query
FROM pg_stat_statements
WHERE query NOT ILIKE $4
  AND query NOT ILIKE $5
  AND query NOT ILIKE $6
ORDER BY total_exec_time DESC
LIMIT $7"
-896801712255462144,2,1.2884,0.6442,126,74,0,0,0,"SELECT locktype, mode, granted, pid, relation::regclass::text AS relation_name
            FROM pg_locks
            ORDER BY granted, pid"
5459451095644561854,4,1.1981000000000002,0.29952500000000004,160,568,0,0,0,"SELECT
              s.relname AS table_name,
              s.indexrelname AS index_name,
              s.idx_scan,
              s.idx_tup_read,
              s.idx_tup_fetch
            FROM pg_stat_user_indexes s
            ORDER BY s.idx_scan DESC"
13694668025197710,2,1.1124,0.5562,122,6,0,0,0,"SELECT queryid, calls, total_exec_time, mean_exec_time, rows,
                       shared_blks_hit, shared_blks_read, temp_blks_read, temp_blks_written,
                       query
                FROM pg_stat_statements
                ORDER BY total_exec_time DESC
                LIMIT $1"
-8195791971706566154,4,1.0586,0.26465,68,88,0,0,0,"SELECT
              relname AS table_name,
              seq_scan, seq_tup_read, idx_scan, idx_tup_fetch,
              n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd,
              n_live_tup, n_dead_tup,
              last_vacuum, last_autovacuum, last_analyze, last_autoanalyze
            FROM pg_stat_user_tables
            ORDER BY n_live_tup DESC NULLS LAST"
6076718095895867295,2,0.9232,0.4616,22,10,0,0,0,"SELECT pid, usename, datname, application_name, client_addr, state,
                   backend_start, xact_start, query_start, wait_event_type, wait_event
            FROM pg_stat_activity
            ORDER BY pid"
7991237484093652806,1,0.7,0.7,0,0,1,0,0,"SELECT s.id, s.expedition_id, s.title, s.status, s.layer_key, s.metadata,
                       COUNT(so.id) FILTER (WHERE so.is_active = $1) AS object_count
                FROM surveys s
                LEFT JOIN survey_objects so ON so.survey_id = s.id
                GROUP BY s.id, s.expedition_id, s.title, s.status, s.layer_key, s.metadata
                ORDER BY s.id"
-5894150803193253271,1,0.6451,0.6451,1,0,1,0,0,SELECT COUNT(*) FROM data_layers.bkg_vg25_boundaries WHERE geom IS NOT NULL
5299827402502271170,4,0.5871999999999999,0.14679999999999999,12,27,1,0,0,"SELECT e.extname, e.extversion, n.nspname AS schema_name
            FROM pg_extension e
            JOIN pg_namespace n ON n.oid = e.extnamespace
            ORDER BY e.extname"
-7442721242327432905,1,0.5678000000000001,0.5678000000000001,1,0,1,0,0,SELECT COUNT(*) FROM data_layers.bkg_vg250_boundaries WHERE geom IS NOT NULL
-5245368837703123513,1,0.5072,0.5072,1,0,1,0,0,"SELECT CASE
    WHEN (SELECT count(extname) FROM pg_catalog.pg_extension WHERE extname=$1) > $2
    THEN $3
    WHEN (SELECT COUNT(*) FROM pg_replication_slots) > $4
    THEN $5
    ELSE $6
END as type"
2575877978056241298,6,0.48450000000000004,0.08075000000000002,2,73,0,0,0,"SELECT at.attname, at.attnum, ty.typname
FROM pg_catalog.pg_attribute at LEFT JOIN pg_catalog.pg_type ty ON (ty.oid = at.atttypid)
JOIN pg_catalog.pg_class as cl ON cl.oid=AT.attrelid
JOIN pg_catalog.pg_namespace as nsp ON nsp.oid=cl.relnamespace
WHERE
    attrelid=$1::oid AND
attnum = ANY (
(SELECT con.conkey FROM pg_catalog.pg_class rel LEFT OUTER JOIN pg_catalog.pg_constraint con ON con.conrelid=rel.oid
JOIN pg_catalog.pg_namespace as nsp ON nsp.oid=REL.relnamespace
AND con.contype=$2 WHERE rel.relkind IN ($3 /*, ... */) AND
    rel.oid = ($4)::oid
)::oid[])"
