name,setting,unit,category,context,vartype,source,boot_val,reset_val,pending_restart
DateStyle,"ISO, MDY",,Client Connection Defaults / Locale and Formatting,user,string,configuration file,"ISO, MDY","ISO, MDY",False
IntervalStyle,postgres,,Client Connection Defaults / Locale and Formatting,user,enum,default,postgres,postgres,False
TimeZone,Europe/Berlin,,Client Connection Defaults / Locale and Formatting,user,string,configuration file,GMT,Europe/Berlin,False
allow_alter_system,on,,Version and Platform Compatibility / Other Platforms and Clients,sighup,bool,default,on,on,False
allow_in_place_tablespaces,off,,Developer Options,superuser,bool,default,off,off,False
allow_system_table_mods,off,,Developer Options,superuser,bool,default,off,off,False
application_name,,,Reporting and Logging / What to Log,user,string,default,,,False
archive_cleanup_command,,,Write-Ahead Log / Archive Recovery,sighup,string,default,,,False
archive_command,(disabled),,Write-Ahead Log / Archiving,sighup,string,default,,,False
archive_library,,,Write-Ahead Log / Archiving,sighup,string,default,,,False
archive_mode,off,,Write-Ahead Log / Archiving,postmaster,enum,default,off,off,False
archive_timeout,0,s,Write-Ahead Log / Archiving,sighup,integer,default,0,0,False
array_nulls,on,,Version and Platform Compatibility / Previous PostgreSQL Versions,user,bool,default,on,on,False
authentication_timeout,60,s,Connections and Authentication / Authentication,sighup,integer,default,60,60,False
autovacuum,on,,Vacuuming / Automatic Vacuuming,sighup,bool,default,on,on,False
autovacuum_analyze_scale_factor,0.1,,Vacuuming / Automatic Vacuuming,sighup,real,default,0.1,0.1,False
autovacuum_analyze_threshold,50,,Vacuuming / Automatic Vacuuming,sighup,integer,default,50,50,False
autovacuum_freeze_max_age,200000000,,Vacuuming / Automatic Vacuuming,postmaster,integer,default,200000000,200000000,False
autovacuum_max_workers,3,,Vacuuming / Automatic Vacuuming,sighup,integer,default,3,3,False
autovacuum_multixact_freeze_max_age,400000000,,Vacuuming / Automatic Vacuuming,postmaster,integer,default,400000000,400000000,False
autovacuum_naptime,60,s,Vacuuming / Automatic Vacuuming,sighup,integer,default,60,60,False
autovacuum_vacuum_cost_delay,2,ms,Vacuuming / Automatic Vacuuming,sighup,real,default,2,2,False
autovacuum_vacuum_cost_limit,-1,,Vacuuming / Automatic Vacuuming,sighup,integer,default,-1,-1,False
autovacuum_vacuum_insert_scale_factor,0.2,,Vacuuming / Automatic Vacuuming,sighup,real,default,0.2,0.2,False
autovacuum_vacuum_insert_threshold,1000,,Vacuuming / Automatic Vacuuming,sighup,integer,default,1000,1000,False
autovacuum_vacuum_max_threshold,100000000,,Vacuuming / Automatic Vacuuming,sighup,integer,default,100000000,100000000,False
autovacuum_vacuum_scale_factor,0.2,,Vacuuming / Automatic Vacuuming,sighup,real,default,0.2,0.2,False
autovacuum_vacuum_threshold,50,,Vacuuming / Automatic Vacuuming,sighup,integer,default,50,50,False
autovacuum_work_mem,-1,kB,Resource Usage / Memory,sighup,integer,default,-1,-1,False
autovacuum_worker_slots,16,,Vacuuming / Automatic Vacuuming,postmaster,integer,configuration file,16,16,False
backend_flush_after,0,8kB,Resource Usage / I/O,user,integer,default,0,0,False
backslash_quote,safe_encoding,,Version and Platform Compatibility / Previous PostgreSQL Versions,user,enum,default,safe_encoding,safe_encoding,False
backtrace_functions,,,Developer Options,superuser,string,default,,,False
bgwriter_delay,200,ms,Resource Usage / Background Writer,sighup,integer,default,200,200,False
