table_name,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze
spsde:simplifiedbavarianmonument,0,0,0,0,0,0,0,0,0,0,,,,
ingestion_runs,0,0,0,0,0,0,0,0,0,0,,,,
layer_registry,0,0,0,0,0,0,0,0,0,0,,,,
bkg_vg250_boundaries,1,7,62,80,0,0,0,0,0,0,,,,
ingestion_sources,0,0,0,0,0,0,0,0,0,0,,,,
ingestion_artifacts,0,0,0,0,0,0,0,0,0,0,,,,
bkg_vg25_boundaries,1,7,63,83,0,0,0,0,0,0,,,,
external_features,7,8908053,849,35982945,0,0,0,0,0,0,,,,
permission_requests,0,0,0,0,0,0,0,0,0,0,,,,
bavaria_economy_raw,0,0,0,0,0,0,0,0,0,0,,,,
survey_objects,1,0,0,0,0,0,0,0,0,0,,,,
mining_locations,0,0,0,0,0,0,0,0,0,0,,,,
surveys,2,0,0,0,0,0,0,0,0,0,,,,
raw_test,0,0,0,0,0,0,0,0,0,0,,,,
restricted_areas,0,0,0,0,0,0,0,0,0,0,,,,
layers_registry,1,95,973,973,0,0,0,0,0,0,,,,
spatial_ref_sys,0,0,3054,3054,0,0,0,0,0,0,,,,
