schema_name,table_name,total_bytes,table_bytes,index_bytes,n_live_tup,n_dead_tup
public,external_features,8659451904,2941370368,5546655744,3009471,284658
legal,restricted_areas,384262144,339337216,33767424,199689,0
public,spsde:simplifiedbavarianmonument,142376960,121323520,13008896,198764,0
public,spatial_ref_sys,7315456,7061504,212992,8500,0
public,layers_registry,278528,188416,49152,95,10
public,layer_registry,98304,32768,32768,74,0
public,surveys,73728,0,49152,0,0
public,permission_requests,65536,8192,49152,0,2
data_layers,bkg_vg250_boundaries,65536,8192,24576,7,14
data_layers,bkg_vg25_boundaries,65536,8192,24576,7,14
public,survey_objects,65536,8192,49152,0,47
public,ingestion_runs,65536,16384,16384,50,8
public,ingestion_artifacts,65536,16384,16384,86,0
public,ingestion_sources,49152,8192,32768,4,0
economic,mining_locations,40960,8192,24576,1,0
public,raw_test,32768,8192,16384,2,0
economic,bavaria_economy_raw,16384,0,8192,0,0
